
 Statystyka Produkcji za czas od: 01.01.22 do: 28.01.23
 L.P. numer   nazwa wyrobu                                ilosc    cena    wartosc
 138. P91LL     P91LL                                     20.00    5.70     114.00
 139. P91M      P91M                                     948.00    6.04    5725.92
 140. P91MM     P91MM                                     80.00    7.05     564.00
 141. P91SS     P91SS                                     68.00    9.57     650.76
 142. P92C      P92C                                     401.00    6.63    2658.63
 143. P94T      P94THEO                                  150.00   13.46    2019.00
 144. P95       P95 AUGUST 2-teil                        420.00    4.54    1906.80
 145. P96       P96 Franz                                249.00    7.44    1852.56
 146. P97       P97 PHILIP 3-teil                        240.00    5.45    1308.00
 147. Pokr.ZIP  Pokrowiec ZIP                            900.00    5.49    4941.00
__________________________________________________________________________________
                  Suma Ogolem  :   522535.52
